ID,Nombre,Goles,Foto,DefaultFoto,FechaNacimiento,Posicion,LugarNacimiento,Apodo,CampeonatosUruguayos,TitulosInternacionales,Oficiales_partidosjugados,Oficiales_partidosganados,Oficiales_partidosempatados,Oficiales_partidosperdidos,Oficiales_golesmarcados,Amistosos_partidosjugados,Amistosos_partidosganados,Amistosos_partidosempatados,Amistosos_partidosperdidos,Amistosos_golesmarcados,ClasicosOficiales_partidosjugados,ClasicosOficiales_partidosganados,ClasicosOficiales_partidosempatados,ClasicosOficiales_partidosperdidos,ClasicosOficiales_golesmarcados,ClasicosAmistosos_partidosjugados,ClasicosAmistosos_partidosganados,ClasicosAmistosos_partidosempatados,ClasicosAmistosos_partidosperdidos,ClasicosAmistosos_golesmarcados
2452,Zacarias,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2452.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2453,Roberto Álvarez,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2453.jpg,True,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2455,Eduardo Belza Franco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2455.jpg,False,05/09/1956,gGolero,"Canelones, Uruguay",-,0.0,0.0,3.0,2.0,0.0,1.0,0.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2456,Fredy Freire,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2456.jpg,False,24/01/1980,dcDefensa central,"Durazno, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2458,Luis Daniel Cupla Oviedo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2458.jpg,False,05/01/1977,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,Gonzalo Vicente,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2459.jpg,False,-,vcVolante central,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2461,Fabián Alexander Díaz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2461.jpg,False,22/02/1989,dcDefensa central,Uruguay,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2462,Fernando López,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2462.jpg,False,-,dcDefensa central,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2463,Randall Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2463.jpg,False,29/11/2003,gGolero,"Maldonado, Uruguay",-,0.0,0.0,3.0,2.0,0.0,1.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2464,Lucas Graneri,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2464.jpg,False,13/01/1999,dcDefensa central,"Colonia, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2465,Bruno Javier Barbato Téliz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2465.jpg,False,10/05/2000,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2466,Simón Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2466.jpg,False,-,vcVolante central,-,Tito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467,Fabio Gambetta,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2467.jpg,True,03/10/1964,dcDefensa central,"São Paulo, Brasil",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,Marcelo Larrosa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2468.jpg,True,-,dcDefensa central,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2469,Daniel Grillo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2469.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2470,Juan José Bogado,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2470.jpg,False,16/03/1961,gGolero,"Soriano, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2471,Jorge Luis Amengual Bonnafon,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2471.jpg,True,08/09/1964,vcVolante central,"Montevideo, Uruguay",Piolín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2472,Marcelo Paglia,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2472.jpg,True,-,vcVolante central,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2473,Sergio Zamora,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2473.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2474,Gonzalo Erik De Los Santos Olivera,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2474.jpg,False,16/01/1999,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2475,Marcos Patricio Camarda Télis,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2475.jpg,False,22/11/2000,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2476,Ángel Cardozo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2476.jpg,False,-,dDelantero,"San José, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2477,Fabián Ezequiel Borges De Los Santos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2477.jpg,False,08/04/2000,liLateral izquierdo,"Paysandú, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2478,Joaquín Darío Machado Arispe,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2478.jpg,False,05/05/2000,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2479,Carlos Andrés Jacques Coelho,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2479.jpg,False,11/02/1982,voVolante ofensivo,"Artigas, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,Fernando Rocha,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2480.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481,Oscar Alsina (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2481.jpg,False,11/04/1969,voVolante ofensivo,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483,Renato Ferreira (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2483.jpg,True,-,dDelantero,Brasil,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2484,Sergio Acuña,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2484.jpg,False,-,dDelantero,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,Antonio Zelenkov Silvestre (a prueba),1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2485.jpg,False,29/04/1949,dDelantero,"São Paulo, Brasil",Teia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486,Miguel Filus,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2486.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2487,Marcos Ramos,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2487.jpg,False,-,dDelantero,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,Guillermo González,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2488.jpg,False,-,ldLateral derecho,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,José Constanzo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2489.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,Juan Manuel Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2490.jpg,False,-,gGolero,-,-,0.0,0.0,16.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,Lucas Pereira (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2491.jpg,True,-,vcVolante central,Argentina,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2492,Rodrigo Pollero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2492.jpg,False,14/09/1996,dDelantero,"San José, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2493,Federico Omar Saroldi,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2493.jpg,False,-,gGolero,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,Luis Laurino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2494.jpg,True,-,vcVolante central,-,-,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2495,Nelson Gargiullo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2495.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,Bruno Irigoin,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2496.jpg,True,-,vcVolante central,-,-,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2497,Elbio Garrasini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2497.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2498,Manuel Martins,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2498.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2499,Ricardo Guido,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2499.jpg,True,-,dcDefensa central,-,-,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,Mario Altamirano,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2500.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2502,Juan Peratto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2502.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2503,Antonio Sacco,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2503.jpg,True,-,voVolante ofensivo,-,Saquito,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2504,Alfredo Kieffer,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2504.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2505,Ángel Sánchez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2505.jpg,True,-,gGolero,-,-,0.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2506,Martín Ricardo Broli Gorgoroso,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2506.jpg,False,-,dDelantero,Uruguay,-,0.0,0.0,7.0,4.0,1.0,2.0,1.0,10.0,3.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2507,Alberto Martínez Píriz,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2507.jpg,False,-,liLateral izquierdo,-,-,0.0,0.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2508,José Alberto Gómez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2508.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2509,Gustavo De Simone,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2509.jpg,False,23/04/1948,dcDefensa central,-,-,0.0,0.0,10.0,6.0,2.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2510,Héctor Viglio,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2510.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2512,Juan Carlos Da Rosa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2512.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,8.0,4.0,2.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2513,Jean Belhot,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2513.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2514,René Borjas (refuerzo de Uruguay Onward),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2514.jpg,False,23/12/1897,dDelantero,"Lavalleja, Uruguay",Tito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2515,Agustín Héctor Castro Rodríguez (refuerzo de Lito),1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2515.jpg,True,29/09/1904,dDelantero,"Montevideo, Uruguay",Manco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2516,Germán Montero,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2516.jpg,True,-,dDelantero,-,-,0.0,0.0,5.0,4.0,1.0,0.0,1.0,7.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2517,Armand Doorn (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2517.jpg,False,-,dDelantero,Surinam,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2518,Martin Duplex Kanga (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2518.jpg,False,21/04/1981,dcDefensa central,"Yaundé, Camerún",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2519,Marciano Rolando Chilavert González (a prueba),1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2519.jpg,False,22/05/1961,voVolante ofensivo,"Luque, Paraguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2520,Nazaire Michel Tatap (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2520.jpg,False,28/06/1977,dDelantero,"Douala, Camerún",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2521,Luis Ademir Silva,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2521.jpg,False,16/11/2002,vcVolante central,"Canelones, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2522,Agustín Rodríguez Canobra,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2522.jpg,False,15/07/2003,dcDefensa central,Uruguay,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2523,Cristian Fabián Callejas Rodríguez (a prueba),0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2523.jpg,False,17/05/1978,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2525,Matías Ferreira,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2525.jpg,False,19/02/2002,voVolante ofensivo,"Rivera, Uruguay",-,0.0,0.0,8.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2526,Luis Jaime,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2526.jpg,True,-,dDelantero,-,-,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2527,Asdrúbal Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2527.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2528,Héctor Biglio,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2528.jpg,True,18/07/1957,liLateral izquierdo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2529,Alfred Herfield,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2529.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2530,A. Blanco,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2530.jpg,True,-,gGolero,-,-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,Jorge Chanes,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2531.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2532,Sebastián Javier Rodríguez Iriarte,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2532.jpg,False,16/08/1992,vcVolante central,"Canelones, Uruguay",Cabeza,0.0,0.0,43.0,21.0,10.0,12.0,9.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2534,P. Seoane,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2534.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2536,Meirán,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2536.jpg,True,-,gGolero,-,-,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2537,Anderson Michael Bonette Rodríguez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2537.jpg,False,09/03/1998,liLateral izquierdo,"Artigas, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2538,Manuel Souto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2538.jpg,False,-,vcVolante central,Uruguay,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539,Damián Costa,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2539.jpg,False,29/01/1996,vcVolante central,"Artigas, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2540,Facundo Vega,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2540.jpg,False,18/08/1998,ldLateral derecho,"Montevideo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2541,Simón Changa Bass,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2541.jpg,False,21/05/1999,dDelantero,"Gunjur, Gambia",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2542,Franco Natanel García,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\2542.jpg,False,30/05/1998,dDelantero,"Cerro Largo, Uruguay",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
